model,split,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,ntrain,ntest
LR,A1,-61.270278741426644,0.0,100.60436880917452,0.0,76.08099249122692,0.0,749,190
LR,A2,-2.543447911979397,0.0,27.659603785522602,0.0,26.241649211096927,0.0,260,425
LR,A3-14,0.7105688664137344,0.0,4.609526944063738,0.0,3.3959900798473086,0.0,968,62
LR,A3-180+,-33.43599111005251,0.0,61.70791059625882,0.0,56.44539475500485,0.0,971,59
LR,A3-28,0.4598782166335756,0.0,10.798881477259586,0.0,8.439962256647409,0.0,605,425
LR,A3-3,-2.3744764808477825,0.0,18.05456617798943,0.0,16.84091813840796,0.0,894,136
LR,A3-56,0.18263039914227075,0.0,12.864866038919944,0.0,11.13055548751735,0.0,939,91
LR,A3-7,0.4191038403801113,0.0,11.070804146520816,0.0,9.313657773468615,0.0,904,126
LR,A3-90,0.20442793845754526,0.0,11.99240479490578,0.0,10.578511338314673,0.0,899,131
LR,C1,0.028432546055588537,0.0,14.015094446057473,0.0,11.634858120896453,0.0,566,464
LR,C2,-0.3378149799660426,0.0,20.144865184478526,0.0,17.027202065766392,0.0,471,559
LR,C3,0.37456429158690946,0.0,13.204266655828889,0.0,10.490327720251551,0.0,379,651
LR,random,0.5892367139029161,0.046758330068052655,10.53841665624112,0.5288663298050996,8.539690537681187,0.4501007221168934,721,155
MLP,A1,-148.40415906050183,37.632364864050984,155.05416460179092,19.05040065734232,119.16401276320347,15.078477048860819,749,190
MLP,A2,-28.310675145477944,2.1887147212358005,79.5132064789446,3.004323142197574,79.02846707792982,3.0886499248126515,260,425
MLP,A3-14,0.4643028518500078,0.06178991544894308,6.26387970967388,0.3683358621827124,5.19064155659296,0.37661207317313855,968,62
MLP,A3-180+,-8.095429941237834,6.822579618790135,29.412175038315016,14.526489155866548,25.587915312261625,12.721305230543159,971,59
MLP,A3-28,0.5259275123862611,0.061651082964121626,10.102964946979894,0.6543664116609138,7.789263166581641,0.26988058078349825,605,425
MLP,A3-3,0.057027814018513014,0.27728991438824113,9.4749897091832,1.403767089786205,7.942852408176143,1.2100642034658045,894,136
MLP,A3-56,0.8245726089067462,0.03627130415096822,5.938334179401971,0.621534681039731,4.7430173073317805,0.34104546829861054,939,91
MLP,A3-7,0.7592494522264336,0.024760085082156692,7.12062886682024,0.3722172420190423,5.510197206039766,0.40367524742183636,904,126
MLP,A3-90,0.7110257929941799,0.06581687915371033,7.197894215153696,0.802174642491725,5.41916239183827,0.46118905275515926,899,131
