age,rf_all_ages,rf_age_le28
1,18.188017899214056,17.543709805189554
2,18.188017899214056,17.543709805189557
3,18.84338361766066,18.534517126964868
4,18.84338361766066,18.534517126964868
5,25.55548167383265,18.54033421434351
6,25.55548167383265,24.580092614135463
7,25.55548167383265,24.580092614135463
8,25.555481673832645,24.580092614135463
9,25.666170346971803,24.593517128698572
10,25.6661703469718,24.593517128698572
11,31.391060266065654,32.32607522763523
12,31.391060266065654,32.32607522763523
13,31.391060266065654,32.32607522763523
14,31.391060266065654,32.326075227635236
15,31.391060266065654,32.32607522763523
16,31.391060266065654,32.32607522763523
17,31.391060266065654,32.32607522763523
18,31.721810058021273,33.51632439580444
19,31.721810058021273,33.51632439580444
20,31.721810058021273,33.51632439580444
21,31.721810058021273,38.19375199884419
22,37.95517365926953,38.19375199884419
23,37.95517365926953,38.19375199884419
24,37.95517365926953,38.19375199884419
25,37.95517365926953,38.19375199884419
26,37.95517365926953,38.19375199884419
27,37.95517365926953,38.19375199884419
28,37.95517365926953,38.19375199884419
29,37.95517365926953,38.19375199884419
30,37.95517365926953,38.19375199884419
31,37.95517365926953,38.19375199884419
32,37.95517365926953,38.19375199884419
33,37.95517365926953,38.19375199884419
34,37.95517365926953,38.19375199884419
35,37.95517365926953,38.19375199884419
36,37.95517365926953,38.19375199884419
37,37.95517365926953,38.19375199884419
38,37.95517365926953,38.19375199884419
39,37.95517365926953,38.19375199884419
40,37.95517365926953,38.19375199884419
41,37.95517365926953,38.19375199884419
42,37.95517365926953,38.19375199884419
43,46.06498403224687,38.19375199884419
44,46.06498403224687,38.19375199884419
45,46.06498403224687,38.19375199884419
46,46.06498403224687,38.19375199884419
47,46.06498403224687,38.19375199884419
48,46.06498403224687,38.19375199884419
49,46.06498403224687,38.19375199884419
50,46.06498403224687,38.19375199884419
51,46.06498403224687,38.19375199884419
52,46.06498403224687,38.19375199884419
53,46.06532655651872,38.19375199884419
54,46.06532655651872,38.19375199884419
55,46.06532655651872,38.19375199884419
56,46.06532655651872,38.19375199884419
57,46.06532655651872,38.19375199884419
58,46.06532655651872,38.19375199884419
59,46.06532655651872,38.19375199884419
60,46.62028582836337,38.19375199884419
61,46.62028582836337,38.19375199884419
62,46.62028582836337,38.19375199884419
63,46.62028582836337,38.19375199884419
64,46.62028582836337,38.19375199884419
65,46.63861485748959,38.19375199884419
66,46.63861485748959,38.19375199884419
67,46.63861485748959,38.19375199884419
68,46.638614857489586,38.19375199884419
