age_bin,rmse,mae,bias,n,scored_as
3,4.414711507552697,3.1520401199229635,0.8027357204131711,136,5-fold OOF
7,6.148768884056988,4.2295458333333364,-0.7305086394557846,126,5-fold OOF
14,4.399123000911773,3.2313094470046053,1.1670370583717367,62,5-fold OOF
28,5.947420648288785,3.9361902140056095,-0.31800194257702735,425,5-fold OOF
56,8.043008306866813,7.288480671768713,-7.217431038069081,91,extrapolation
90,10.554134265453675,9.636638326972017,-9.612734128498731,131,extrapolation
180+,9.9186453559804,8.707084745762694,-8.707084745762694,59,extrapolation
