age_bin,mean,std,count
3,0.03020140255198777,1.1078391761847841,136
7,-0.028495248612903507,2.895940375678134,126
14,0.03325463018109706,1.161668026127917,62
28,-0.00931217902688402,1.0160379945818852,425
56,-6.552054580856155,3.127468921338803,91
90,-9.253712946768026,4.105782773351905,131
180+,-8.471172551300565,4.600901110163401,59
