feature,perm_mean,perm_std
age,0.6887522362003318,0.05203845504271092
cement,0.49765773079247316,0.0515146047151087
slag,0.15165802340055196,0.015618210294354668
water,0.11965545091241263,0.01738318805184317
superplasticizer,0.10364509896946714,0.01357562165430717
coarse_agg,0.018234253000141053,0.0033029469870508067
fly_ash,0.009508323326534628,0.0025766609565202655
