model,split,seed,ntrain,ntest,rmse,mae,r2
MLP,A3-3,0,894,136,8.11102978353807,6.72002372178758,0.31894171124909
MLP,A3-3,1,894,136,10.915436568641624,9.139734837023475,-0.23343001061178725
MLP,A3-3,2,894,136,9.398502775369906,7.968798665717372,0.08557174141823631
MLP,A3-7,0,904,126,7.299375375602061,5.420477498096844,0.7474708214087336
MLP,A3-7,1,904,126,7.369756630825131,5.951183915811309,0.7425775242005594
MLP,A3-7,2,904,126,6.692754594033527,5.1589302042111465,0.7877000110700078
MLP,A3-14,0,968,62,5.838581307529597,4.75734763474318,0.5356481342899317
MLP,A3-14,1,968,62,6.47302759384774,5.375211475481572,0.42924799405742387
MLP,A3-14,2,968,62,6.480030227644302,5.439365559554127,0.42801242720266774
MLP,A3-28,0,605,425,10.79772017261687,8.047768942176067,0.4599943790730223
MLP,A3-28,1,605,425,10.012845537232883,7.810730552378533,0.535646015053098
MLP,A3-28,2,605,425,9.498329131089928,7.509290005190325,0.582142143032663
MLP,A3-56,0,939,91,6.5367967429320135,5.035263024542828,0.7889730571951934
MLP,A3-56,1,939,91,5.296047100754071,4.368297987629702,0.8614802743180021
MLP,A3-56,2,939,91,5.982158694519829,4.825490909822814,0.8232644952070433
MLP,A3-90,0,899,131,6.830614743054039,5.03798368926052,0.7419008662302533
MLP,A3-90,1,899,131,6.645114574022713,5.287692059361763,0.7557289993964489
MLP,A3-90,2,899,131,8.117953328384337,5.931811426892529,0.6354475133558376
MLP,A3-180+,0,971,59,34.9318543459313,30.221079450307197,-10.035046943692079
MLP,A3-180+,1,971,59,40.36979660921289,35.34328210500474,-13.738185773729768
MLP,A3-180+,2,971,59,12.934874159800868,11.199384381472935,-0.5130571062916558
